STATE/UT,Positive,Cured,Deaths
Andaman and Nicobar Islands,33,11,0
Andhra Pradesh,1097,231,31
Arunachal Pradesh,1,1,0
Assam,36,27,1
Bihar,274,56,2
Chandigarh,30,17,0
Chhattisgarh,37,32,0
Delhi,2918,877,54
Goa,7,7,0
Gujarat,3301,313,151
Haryana,289,176,3
Himachal Pradesh,40,22,1
Jammu and Kashmir,523,137,6
Jharkhand,82,13,3
Karnataka,503,182,19
Kerala,458,338,4
Ladakh,20,14,0
Madhya Pradesh,2096,302,103
Maharashtra,8068,1076,342
Manipur,2,2,0
Meghalaya,12,0,1
Mizoram,1,0,0
Odisha,103,35,1
Puducherry,7,3,0
Punjab,313,71,18
Rajasthan,2185,518,33
Tamil Nadu,1885,1020,24
Telengana,1002,280,26
Tripura,2,2,0
Uttarakhand,50,28,0
Uttar Pradesh,1868,289,29
West Bengal,649,105,20
